Year,Name
2023,FPT Information System
2022,Germany Football Team
2022,NODA - Phụng sự khởi nghiệp Xanh
2022,Espresso
2022,Món Ngon Hải Phòng
2021,Tìm kiếm CEO tương lai
2021,Địa điểm ăn uống
2020,Texas Chicken Vietnam
2020,Bookiee - Sách là niềm vui
2020,STAY 17
2020,HỌC TIẾNG ĐỨC - Từ Nước Đức
2019,Foody.vn
2019,Dân tộc Đức - Hành trình văn hoá và lịch sử
2019,Taste Life
2019,VGU Robotics & Electronics Club - REC
2019,1977 Vlog
2019,VGU Ultimate Frisbee Club
2019,VGU PR & Event Team - Presto
2019,Vietnamese-German University VGU
2019,Thánh Riviu - Riviu.vn
2019,Nike Factory Store Hoang Dieu
2019,Crimson Education
2018,Key & Peele
2018,Năng Khiếu Express - NKX
2018,PTNK Cursed Image
2018,IELTS Official
2018,Awaken Your Power
2018,Tony Buổi Sáng
2018,Help Heal Share Organization - HHSO
2018,Johnny English
2018,Du học Confessions
2018,Kiến thức là vô tận
2018,Ciuffi Rossi
2018,Tastemade
2018,Be U
2017,9GAG
2017,BigO Coding - Học thuật toán với chuyên gia
2017,Insider Food
2017,Programming Geeks
2017,"I am Programmer,I have no life."
2017,Insider
2017,Tony Buổi Sáng Online
2017,Cookat Việt Nam
2017,Tôi đi code dạo
2016,PTNK Photography Club
2016,Đội Văn Nghệ trường Phổ thông Năng Khiếu
2016,PTNK Harmonica Club
2016,ESC - English Speaking Club
2016,PTNK Collection
2016,PTNK Sports
2016,Trấn Thành
2016,Phổ Thông Năng Khiếu
2016,PTNK
2016,PTNK Confession
